view_id,original,edited,question,label_correct,fluent,note
129,"San Francisco prosecutors, who had long ago deprioritized marijuana charges, dismissed the decades-old charge and released Garcia Zarate on April 15, 2015. Due to San Francisco's policy of limiting cooperation with federal immigration authorities — which some refer to as a ""sanctuary"" policy — the city did not inform ICE when they released Garcia Zarate.","San Francisco prosecutors, who had long ago sanctuary"" policy deprioritized marijuana charges, dismissed the decades-old charge and released Garcia Zarate on April 15, 2015. Due to San Francisco's policy of limiting cooperation with federal immigration authorities — which some refer to as a ""  — the city did not inform ICE when they released Garcia Zarate.",Is Name_Calling-Labeling still PRESENT after moving its span?,,,
130,"Or is it not so that it is both negligent and uncharitable for some bishops to refuse to inform their faithful that according to the Church's own infallible teaching, everlasting damnation is the price to be paid for this kind of inclusivity and toleration? And if the episcopal retort is going to be that this acceptance refers only to chaste homosexuals, then we call FOUL even louder since this crosses the line into willful deception. We're all sinners, of course--- and the Church already accepts repentant homosexuals as they are, just as she accepts repentant practitioners of ANY sins of the flesh.","? And if the episcopal retort is going to be that this acceptance refers only to chaste homosexuals, then we call FOUL even louder since this crosses the line Or is it not so that it is both negligent and uncharitable for some bishops to refuse to inform their faithful that according to the Church's own infallible teaching, everlasting damnation is the price to be paid for this kind of inclusivity and toleration into willful deception. We're all sinners, of course--- and the Church already accepts repentant homosexuals as they are, just as she accepts repentant practitioners of ANY sins of the flesh.",Is Doubt still PRESENT after moving its span?,,,
131,"Please, don’t start calling me Nostradamus. A blind man could see what was happening. Donald “Art of the Deal” Trump was obviously negotiating all week with the CIA, and he was obviously pushing to get what he wanted all the way up to the very last day. On Thursday, the deadline established by law for releasing the records, the CIA undoubtedly blinked and Trump presumably got what he wanted in return for granting the CIA request for continued secrecy.","Please, don’t start calling me Nostradamus.  . Donald “Art of the Deal” Trump was obviously negotiating all week with the CIA, and he was obviously pushing to get what he wanted all the way up to the very last day. On Thursday, the deadline established by law for releasing the records, the CIA undoubtedly blinked and Trump presumably got what he wanted in return for granting A blind man could see what was happening the CIA request for continued secrecy.",Is Exaggeration-Minimisation still PRESENT after moving its span?,,,
132,,"St. Valentine is known as the saint of friendship and of love. In many parishes and ecclesial institutions, it is already tradition to offer blessings of I don't doubt it.
T  couples around the time of his feast day. People in homosexual relationships are welcome at the blessing ceremonies in Wels-St. Franziskus [Church] and in the Ursulinenkirche.",Is Appeal_to_Authority PRESENT in the edited text?,,,
133,"“Now, ‘Islam’ means ‘Submission’. You either submit, or you resist. Are you going to submit?” he asked the crowds. “Are you going to resist?”","“Now, ‘Islam’ means ‘Submission’. You Are you going to resist? either submit, or you resist. Are you going to submit?” he asked the crowds. “ ”",Is Slogans still PRESENT after moving its span?,,,
134,Muslim Crime Stopper Sofian Zakkout's New Crush: Anti-Semite Pastor Steve Anderson,Muslim Crime Stopper Sofian Anderson New Crush: Anti-Semite Pastor Steve Zakkout's,"Are all original techniques still present, unchanged? (Name_Calling-Labeling)",,,
135,"“The FBI and the Las Vegas metro police department have been conducting the investigation, ” she said. “We’ve seen no evidence of a terrorist attack, and I will ask with all due respect, congressman, unless have you specific evidence to back that up, it seems a bit irresponsible to make that allegation so, if you do, or make that assertion, if do you have any evidence of that, I’m asking you right now to share it with us and tell us what that is. My clients… victims, all 22,000 people have been waiting and waiting and waiting for evidence.”","“The FBI and the Las Vegas metro police department have been conducting the investigation, ” she said. “We’ve seen no evidence of a terrorist attack, and I will ask with all due respect, congressman, unless have you specific evidence to back that up, it seems a bit irresponsible to make that allegation so, if you do, or make that assertion, if do you have any evidence of that, I’m asking you right now to share it with us and tell us what that is. My clients… victims, all 22,000 people have been  making his stupid Stalinist statements about taking guns first and worrying about due process later  for evidence.”",Is Guilt_by_Association PRESENT and Repetition absent?,,,
136,"Jeff then describes a scene in which he and his wife were walking through the main lobby when screams and gunfire erupted. Keep in mind, this is all information that the police and the FBI has hidden from the American people.","Jeff then describes a scene in which he and his wife were walking through the Keep in mind, this is all information that the police and the FBI has hidden main lobby when screams and gunfire erupted.   from the American people.",Is Doubt still PRESENT after moving its span?,,,
137,"Do we accept that outcome, pack up and go home? Or do we leave our forces in Syria and Iraq and defy any demand from Assad to vacate his country?","Or do we leave our forces in Syria and Iraq and defy any demand from Assad to vacate his country? Do we accept that outcome, pack up and go home?",Is Appeal_to_Fear-Prejudice still PRESENT after moving its span?,,,
138,The Plague Is AIRBORNE And It’s Spreading Because People Are Literally ‘Dancing With Corpses’,The Spreading Is AIRBORNE And It’s Plague Because People Are Literally ‘Dancing With Corpses’,"Are all original techniques still present, unchanged? (Loaded_Language)",,,
139,"And the label of “violent extremist” turns out to be used very generously. Ganesh makes wild leaps and inferences. He talks of Darren Osborne, the perpetrator of the vehicular attack on Finsbury Park Mosque. This was a heinous crime, and should rightly be condemned. But why did Osborne do this, according to Ganesh? The attack “was executed after he had become indignant after watching a BBC broadcast on child sexual exploitation and turned to social media to make sense of it. He found a narrative from British counter-jihad groups closely aligned with the alt-right, such as Britain First and the founder of the English Defence League Tommy Robinson.” The British counter-jihad movement is thus swept into the same group of violent extremists as Osborne, because Ganesh “knows” they encouraged him.","And the label of “violent extremist” turns out to be used very generously. Ganesh makes wild leaps and inferences. He talks of Darren Osborne, the perpetrator of the vehicular attack on Finsbury Park Mosque. This was a heinous crime, and should rightly be condemned. But why did Osborne do this, according to Ganesh? The attack “was executed after he had become indignant after watching a BBC broadcast on child sexual exploitation and turned to social media to make sense of it. He found a narrative from British counter-jihad groups closely aligned with the alt-right, such as Britain First and the founder of the English Defence League Tommy Robinson.” The British counter-jihad movement is thus swept into the same group of violent extremists as Osborne, because Ganesh “ ” they encouraged him.",Is Doubt ABSENT in the edited text?,,,
140,,"The Fifth Amendment has no The imam's mosque has attracted a number of radicals over the years, including a man who later helped bomb the World Trade Center in 1993  business being brought up here. This is an issue of privilege, not rights.",Is Guilt_by_Association PRESENT in the edited text?,,,
141,"Seriously, it's been four months already!",", it's been four Seriously months already!",Is Loaded_Language still PRESENT after moving its span?,,,
142,And the father of Muslim spy ring Imran Awan transferred a USB drive to a Pakistani senator and former head of a Pakistani intelligence agency.,And the father of   Imran Awan transferred a USB drive to a Pakistani senator and former Muslim spy ring head of a Pakistani intelligence agency.,Is Name_Calling-Labeling still PRESENT after moving its span?,,,
143,"I suspect that not even Viganò’s historic testimony will change the neo-Catholic position. Quite the contrary, I would expect the neo-Catholic commentariat either to ignore Viganò’s witness, explain away his revelations or, failing that, make every effort to smear the man.","I suspect that not even Viganò’s historic testimony will change the  Moreover, the main author of the story, Luke Harding, is known to be a notorious fraud, a russo-phobe intelligence asset with a personal grievance towards Assange and Wikileaks  position. Quite the contrary, I would expect the neo-Catholic commentariat either to ignore Viganò’s witness, explain away his revelations or, failing that, make every effort to smear the man.",Is Doubt PRESENT and Repetition absent?,,,
144,"The case against confirming Kavanaugh may be somewhere between weak and non-existent, but the constant repetition of the unsupported allegations in the Trump-hating media is clearly taking its toll on the nominee.","The case against confirming Kavanaugh may on somewhere between weak and non-existent, but the constant repetition of the unsupported allegations in the Trump-hating media is clearly taking its toll be the nominee.","Are all original techniques still present, unchanged? (Name_Calling-Labeling)",,,
145,"Caesar had his Brutus, Charles the first his Cromwell; And George the third- Treason! Cried the speaker- May profit by their example. If this be treason, make the most of it. –Patrick Henry","Caesar had his Brutus, Charles the first his Cromwell; And George the third- Treason!  I had no way to see into his mind - May profit by their example. If this be treason, make the most of it. –Patrick Henry",Is Conversation_Killer PRESENT and Loaded_Language absent?,,,
146,"Defend Yourself: A Com... Rob Pincus Best Price: $2.00 Buy New $17.99 (as of 03:35 EDT - Details) He’d launched the site months earlier along with an anarchist video manifesto, declaring that gun control would never be the same in an era when anyone can download and print their own firearm with a few clicks. In the days after that first test-firing, his gun was downloaded more than 100,000 times. Wilson made the decision to go all in on the project, dropping out of law school at the University of Texas, as if to confirm his belief that technology supersedes law.","Defend Yourself: A Com... Rob Pincus Best Price: launched Buy New $17.99 (as of 03:35 EDT - Details) He’d $2.00 the site months earlier along with an anarchist video manifesto, declaring that gun control would never be the same in an era when anyone can download and print their own firearm with a few clicks. In the days after that first test-firing, his gun was downloaded more than 100,000 times. Wilson made the decision to go all in on the project, dropping out of law school at the University of Texas, as if to confirm his belief that technology supersedes law.","Are all original techniques still present, unchanged? (Appeal_to_Fear-Prejudice, Name_Calling-Labeling)",,,
147,"We are in the early stages of a cultural civil war in which the left sees itself losing. This is what led me to write my new New York Times best-selling book, “Trump’s America: The Truth About Our Nation’s Great Comeback.” With each passing month the radical-extremist wing of the Democratic Party dominates the progressive wing more and more.","We are in the early stages of a cultural civil war in which the left sees itself losing. This is what led me to write my new New York Times best-selling book, “ : The Truth About Our Nation’s Great Comeback.” With each passing month the radical-extremist wing of the Democratic Party dominates the progressive wing more and more.",Is Slogans ABSENT in the edited text?,,,
148,,"“Throughout this process, I’ve been interviewed by the FBI, I’ve done a number of ‘background’ calls directly with the Senate, and yesterday, I answered questions under oath about every topic the Senators and their counsel asked me,"" Kavanaugh my translation  said in a statement that was released by the White House. ""I’ve done everything they have requested and will continue to cooperate.""",Is Straw_Man PRESENT in the edited text?,,,
149,"Election Strategy: “You whip ’em up. The poor, the middle income. You have to whip them up into a frenzy in order for them to vote.”","Election Strategy: “You whip ’em up. The poor, the middle income.  .”",Is Exaggeration-Minimisation ABSENT in the edited text?,,,
